Object,IncorCorefEval_file1,IncorCorefEval_file2,IncorCorefEval_improvement,IncorCorefEval_percentage_improvement,IncomCorefEval_file1,IncomCorefEval_file2,IncomCorefEval_improvement,IncomCorefEval_percentage_improvement,IncomDiscoEval_file1,IncomDiscoEval_file2,IncomDiscoEval_improvement,IncomDiscoEval_percentage_improvement,SentiBias_file1,SentiBias_file2,SentiBias_improvement,SentiBias_percentage_improvement,ExtEval_file1,ExtEval_file2,ExtEval_improvement,ExtEval_percentage_improvement
113_textrank_st,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.2601830825529067,0.018668769037010036,0.24151431351589664,92.82475676211045,1.2601830825529068,0.018668769037010036,1.2415143135158968,98.51856692130873
114_oracle,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,1.0,-1.0,,0.02338442531860585,0.21095972927772288,-0.18757530395911703,-802.1377536692016,1.0233844253186057,1.210959729277723,-0.18757530395911726,-18.32891915476633
114_oracle_disco,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.23309644731246715,0.23913609656059032,-0.006039649248123169,-2.591051608790495,1.2330964473124673,0.23913609656059032,0.9939603507518769,80.60686193024176
114_pacsum_tfidf,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,-1.0,,0.06343840233845799,0.21716746362411266,-0.15372906128565467,-242.32807829156212,0.06343840233845799,1.2171674636241128,-1.1537290612856548,-1818.6603362585543
118_bert_lstm_pn_rl,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.19281083878983435,0.020887896282753615,0.17192294250708073,89.16663792665639,1.1928108387898344,0.020887896282753615,1.1719229425070807,98.24885089877742
118_heter_graph,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,-1.0,,0.07228344964096323,0.01607962734609225,0.056203822294870975,77.75475931771264,0.07228344964096323,1.0160796273460924,-0.9437961777051291,-1305.687792147481
118_rnn_ext_rl,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.010410981505022676,0.17989462141607265,-0.16948363991104998,-1627.9314282643213,1.0104109815050226,0.17989462141607265,0.83051636008895,82.19589605527477
118_textrank,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.1676339733142716,0.09653828504572931,0.07109568826854229,42.41126477104717,1.1676339733142715,0.09653828504572931,1.0710956882685423,91.73214489711103
119_banditsumm,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.43522556126117706,0.25358813193937146,0.1816374293218056,41.734090432433426,1.435225561261177,0.25358813193937146,1.1816374293218055,82.33113046589445
119_bert_lstm_pn_rl,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.5514225289225578,0.24320444030066335,0.3082180886218945,55.895084523320385,1.5514225289225578,0.24320444030066335,1.3082180886218944,84.32377796720758
119_heter_graph,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.4035753682255745,0.4659833610057831,-0.06240799278020859,-15.46377645756771,1.4035753682255745,0.4659833610057831,0.9375920072197914,66.80026085133656
119_matchsumm,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.4035753682255745,0.386896101757884,0.016679266467690468,4.1328752398902,1.4035753682255745,0.386896101757884,1.0166792664676905,72.43496070702601
119_neusumm,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.31521127838641405,0.4155088082770817,-0.10029752989066765,-31.81914378321007,1.315211278386414,0.4155088082770817,0.8997024701093324,68.40744790549131
119_pacsum_tfidf,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.11884309103091562,0.07138090083996451,0.047462190190951103,39.936852684691935,1.1188430910309157,0.07138090083996451,1.0474621901909513,93.62011515178655
119_refresh,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.31521127838641405,0.41514032348641194,-0.09992904509999789,-31.702242892938614,1.315211278386414,0.41514032348641194,0.9000709549000021,68.4354650611168
119_rnn_ext_rl,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.12834721058607101,0.0806095227599144,0.047737687826156616,37.19417633478151,1.128347210586071,1.0806095227599144,0.047737687826156616,4.230762249269119
119_textrank_st,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.08341601739327109,0.08668018132448196,-0.0032641639312108728,-3.9131140915319973,1.083416017393271,0.08668018132448196,0.996735836068789,91.99936313171399
124_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.016907820697216414,0.05323145772768734,-0.03632363703047092,-214.8333465379781,1.0169078206972164,0.05323145772768734,0.9636763629695291,94.76536057209289
124_refresh,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.03843174772519692,0.011635320197206533,0.026796427527990385,69.72471749033133,1.038431747725197,0.011635320197206533,1.0267964275279904,98.87952961543259
128_bert_lstm_pn_rl,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.32511027916916646,0.3315118378862584,-0.006401558717091915,-1.9690422380526935,1.3251102791691665,0.3315118378862584,0.9935984412829081,74.98232086056161
128_matchsumm,0.0,0.0,0.0,,0.0,1.0,-1.0,,1.0,1.0,0.0,0.0,0.26764001512977603,0.3315449780687535,-0.06390496293897746,-23.877207938428253,1.267640015129776,2.3315449780687536,-1.0639049629389776,-83.92800402644747
128_oracle,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.3251888976956252,0.3316369480356419,-0.00644805034001672,-1.982863002307064,1.3251888976956252,0.3316369480356419,0.9935519496599833,74.974364136892
128_refresh,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.002129571910093886,0.0013929151561266062,0.0007366567539672797,34.591776425845275,1.002129571910094,0.0013929151561266062,1.0007366567539675,99.86100448533102
