Metric,Mean_Percentage_Improvement,Median_Percentage_Improvement
IncorCorefEval,98.30508474576271,100.0
IncomCorefEval,82.54545454545455,100.0
IncomDiscoEval,74.45652173913044,100.0
SentiBias,-199.9052743760025,0.4034559918668538
ExtEval,-10.068485440251711,69.50417503728183
