Metric,Mean_Exteval_Corr_1,Mean_Exteval_Modif_Corr_2,Median_Exteval_Corr_1,Median_Exteval_Modi_Corr_2,Mean_Difference,Median_Difference
IncorCorefEval,98.30508474576273,98.30508474576273,100.0,100.0,0.0,0.0
IncomCorefEval,82.54545454545455,87.9090909090909,100.0,100.0,5.36363636363636,0.0
IncomDiscoEval,74.45652173913044,85.82427536231883,100.0,100.0,11.367753623188392,0.0
SentiBias,-199.9052743760025,-216.46429027602235,0.4034559918668538,-0.72428988481395,-16.55901590001986,-1.1277458766808037
ExtEval,-10.068485440251711,-7.428029162082244,69.50417503728183,80.4650268165048,2.6404562781694674,10.960851779222978
