,ExtEval,ExtEval_Modified,Difference
IncorCorefEval,98.30508474576273,98.30508474576273,0.0
IncomCorefEval,82.54545454545455,87.9090909090909,5.36363636363636
IncomDiscoEval,74.45652173913044,85.82427536231884,11.367753623188406
SentiBias,-199.90527437600247,-216.46429027602235,-16.559015900019887
ExtEval,-10.06848544025171,-7.428029162082242,2.6404562781694674
