Object,IncorCorefEval_file1,IncorCorefEval_file2,IncorCorefEval_improvement,IncorCorefEval_percentage_improvement,IncomCorefEval_file1,IncomCorefEval_file2,IncomCorefEval_improvement,IncomCorefEval_percentage_improvement,IncomDiscoEval_file1,IncomDiscoEval_file2,IncomDiscoEval_improvement,IncomDiscoEval_percentage_improvement,SentiBias_file1,SentiBias_file2,SentiBias_improvement,SentiBias_percentage_improvement,ExtEval_file1,ExtEval_file2,ExtEval_improvement,ExtEval_percentage_improvement
103_mi_unsup,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,-1.0,,0.2614507363695237,0.0771751489697231,0.1842755873998006,70.48195386963954,0.2614507363695237,1.0771751489697232,-0.8157244126001995,-311.99927907156024
103_neusumm,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,1.0,2.0,-1.0,-100.0,0.19314859041737187,0.23185502872284913,-0.038706438305477264,-20.03972082935584,2.1931485904173718,2.2318550287228494,-0.0387064383054776,-1.7648798843178923
103_oracle,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,1.0,0.0,0.0,0.17549358939545023,0.13896625800084117,0.036527331394609064,20.81405453067567,2.17549358939545,1.138966258000841,1.036527331394609,47.64561644526154
103_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,2.0,1.0,1.0,50.0,0.020419112584527777,0.13108614613560754,-0.11066703355107976,-541.9776843531181,2.020419112584528,1.1310861461356074,0.8893329664489205,44.017251713248854
103_textrank,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.24567863955679864,0.021111180643654526,0.2245674589131441,91.40699383481655,0.24567863955679864,0.021111180643654526,0.2245674589131441,91.40699383481655
103_textrank_st,0.0,0.0,0.0,,3.0,2.0,1.0,33.33333333333333,0.0,0.0,0.0,,0.042384895703030945,0.02887814180899617,0.013506753894034773,31.866903692932542,1.042384895703031,1.0288781418089963,0.013506753894034773,1.2957549509507438
105_oracle_disco,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,1.0,0.0,1.0,100.0,0.16419717977156065,0.16298622661893855,0.0012109531526220962,0.737499361625355,2.1641971797715605,0.16298622661893855,2.001210953152622,92.46897518662591
111_bert_lstm_pn_rl,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.013761015662748788,0.167982478866179,-0.15422146320343022,-1120.7127946297549,1.0137610156627488,0.167982478866179,0.8457785367965698,83.4297752358962
111_matchsumm,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.0,-1.0,,0.1147864261559638,0.17982881260832073,-0.06504238645235694,-56.66383093414014,0.1147864261559638,1.1798288126083207,-1.0650423864523568,-927.8469781829879
111_mi_unsup,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.11447509122808697,0.16252491864482488,-0.04804982741673791,-41.974045970402926,1.114475091228087,0.16252491864482488,0.9519501725832621,85.41690882783824
111_oracle,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.15811907244642498,0.1654604424329591,-0.007341369986534119,-4.64293767535322,0.15811907244642498,0.1654604424329591,-0.007341369986534119,-4.64293767535322
111_textrank,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.11180402828176739,0.17719930403351702,-0.06539527575174964,-58.49098351531764,1.1118040282817674,0.17719930403351702,0.9346047242482504,84.06200197822912
111_textrank_st,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.17408170295675518,0.17956252885778667,-0.005480825901031494,-3.1484215790289136,1.1740817029567552,0.17956252885778667,0.9945191740989685,84.70613004141157
112_oracle_disco,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,100.0,0.12112720390515663,0.1031639341797147,0.017963269725441933,14.830087004656104,1.1211272039051567,0.1031639341797147,1.017963269725442,90.79819543934266
112_textrank_st,1.0,0.0,1.0,100.0,2.0,0.0,2.0,100.0,1.0,0.0,1.0,100.0,0.3403146423931632,0.44425459285931923,-0.103939950466156,-30.542309239246567,3.3403146423931633,0.44425459285931923,2.896060049533844,86.70021718250369
113_oracle_disco,0.0,0.0,0.0,,2.0,0.0,2.0,100.0,3.0,0.0,3.0,100.0,0.2693762543775457,0.21204352562095402,0.05733272875659168,21.28351249410302,2.2693762543775455,0.21204352562095402,2.0573327287565917,90.65630808412975
113_textrank,0.0,0.0,0.0,,3.0,1.0,2.0,66.66666666666666,0.0,0.0,0.0,,0.252657645429454,0.1803262206269123,0.0723314248025417,28.62823512805108,1.252657645429454,1.1803262206269123,0.07233142480254173,5.774237283942337
113_textrank_st,0.0,0.0,0.0,,2.0,0.0,2.0,100.0,0.0,0.0,0.0,,0.2601830825529067,0.14541605445646424,0.11476702809644243,44.11010392003686,1.2601830825529068,0.14541605445646424,1.1147670280964426,88.46071999618681
114_oracle,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.02338442531860585,0.23805163971943943,-0.21466721440083358,-917.992259703014,1.0233844253186057,0.23805163971943943,0.7853327855991663,76.73878614623943
114_oracle_disco,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,2.0,-1.0,-100.0,0.23309644731246715,0.23661827715598827,-0.003521829843521118,-1.5108895412721948,1.2330964473124673,1.2366182771559884,-0.003521829843521118,-0.285608627873103
114_pacsum_tfidf,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.06343840233845799,0.21718474897109752,-0.15374634663263953,-242.35532574160453,0.06343840233845799,0.21718474897109752,-0.15374634663263953,-242.35532574160453
118_bert_lstm_pn_rl,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.19281083878983435,0.2373869397949117,-0.04457610100507736,-23.119084634897387,1.1928108387898344,0.2373869397949117,0.9554238989949226,80.0985259292452
118_heter_graph,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.07228344964096323,0.34958329585303244,-0.2772998462120692,-383.62840676453084,0.07228344964096323,0.34958329585303244,-0.2772998462120692,-383.62840676453084
118_rnn_ext_rl,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.0,0.0,0.0,,0.010410981505022676,0.12350445606668176,-0.11309347456165908,-1086.2902264027482,1.0104109815050226,0.12350445606668176,0.8869065254383408,87.77680980043189
118_textrank,0.0,0.0,0.0,,2.0,0.0,2.0,100.0,0.0,0.0,0.0,,0.1676339733142716,0.15168620484958711,0.015947768464684486,9.513446558226253,1.1676339733142715,0.15168620484958711,1.0159477684646845,87.00909631645666
119_banditsumm,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.43522556126117706,0.07695349802573526,0.3582720632354418,82.31870899247212,1.435225561261177,0.07695349802573526,1.3582720632354417,94.63822968996497
119_bert_lstm_pn_rl,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.5514225289225578,0.017343513667583466,0.5340790152549744,96.8547687557359,1.5514225289225578,0.017343513667583466,1.5340790152549744,98.88208960845579
119_heter_graph,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.4035753682255745,0.0488713110486666,0.3547040571769079,87.89041282089583,1.4035753682255745,0.0488713110486666,1.354704057176908,96.51808430419733
119_matchsumm,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.4035753682255745,0.4099018291453831,-0.006326460919808596,-1.5676033320924785,1.4035753682255745,0.4099018291453831,0.9936735390801914,70.79588040479875
119_neusumm,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.31521127838641405,0.0817827358841896,0.23342854250222445,74.05462891339407,1.315211278386414,0.0817827358841896,1.2334285425022244,93.78177961000107
119_pacsum_tfidf,0.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,2.0,100.0,0.11884309103091562,0.08081568032503128,0.038027410705884335,31.997998685503692,1.1188430910309157,0.08081568032503128,1.0380274107058844,92.77685307503069
119_refresh,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.31521127838641405,0.07424633453289664,0.2409649438535174,76.44553363922503,1.315211278386414,0.07424633453289664,1.2409649438535175,94.35479791323058
119_rnn_ext_rl,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.12834721058607101,0.0819321945309639,0.04641501605510712,36.1636344437581,1.128347210586071,0.0819321945309639,1.0464150160551071,92.73874267049344
119_textrank_st,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.08341601739327109,0.08556877324978507,-0.002152755856513977,-2.5807463887476763,1.083416017393271,0.08556877324978507,0.9978472441434859,92.10194681673012
124_oracle_disco,0.0,0.0,0.0,,2.0,0.0,2.0,100.0,0.0,0.0,0.0,,0.016907820697216414,0.12703482412240086,-0.11012700342518444,-651.337658455977,1.0169078206972164,0.12703482412240086,0.8898729965748156,87.50773457172325
124_refresh,0.0,0.0,0.0,,2.0,0.0,2.0,100.0,0.0,0.0,0.0,,0.03843174772519692,0.08553372154140151,-0.047101973816204595,-122.56006193890381,1.038431747725197,0.08553372154140151,0.9528980261837955,91.76318311446343
128_bert_lstm_pn_rl,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,100.0,0.32511027916916646,0.08438399696994259,0.24072628219922387,74.04450047362711,1.3251102791691665,0.08438399696994259,1.240726282199224,93.63192646706729
